open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_base_volume,taker_buy_quote_volume
1674259200000,22675.01,22695.21,22663.79,22690.88,4.134396,1674259259999,93771.04155478,74,2.59709,58908.10420484
1674259260000,22692.08,22697.93,22663.86,22663.86,1.433612,1674259319999,32513.56922598,65,0.388086,8801.47741982
1674259320000,22661.39,22661.39,22633.6,22638.78,5.106429,1674259379999,115660.22166266,118,1.911028,43275.32530033
1674259380000,22637.16,22643.55,22619.66,22631.02,4.972946,1674259439999,112547.35854363,84,2.895407,65531.95344787
1674259440000,22622.42,22658.9,22619.64,22643.37,1.845048,1674259499999,41772.89526906,66,1.464488,33159.65393213
1674259500000,22645.77,22677.65,22645.77,22677.65,2.764411,1674259559999,62661.26088467,92,2.417893,54807.51993972
1674259560000,22678.09,22726.89,22675.13,22708.63,5.225227,1674259619999,118625.14476618,147,2.016932,45786.91951925
1674259620000,22734.68,22750.96,22703.0,22739.85,4.918595,1674259679999,111776.86056819,88,3.13355,71214.89199585
1674259680000,22726.58,22798.78,22700.54,22714.64,7.756931,1674259739999,176513.1146029,126,4.465098,101620.04517545
1674259740000,22710.68,22710.86,22651.83,22656.8,10.916097,1674259799999,247500.68965565,182,6.165499,139778.69178981
1674259800000,22657.95,22674.7,22618.86,22618.86,8.699848,1674259859999,196985.78503132,137,1.446196,32748.31328823
1674259860000,22618.86,22635.97,22453.8,22521.74,22.793378,1674259919999,513968.17309453,359,4.967585,112071.38301631
1674259920000,22502.24,22568.87,22439.37,22533.69,5.782802,1674259979999,130138.04840307,125,3.132006,70522.45753528
1674259980000,22530.06,22560.48,22461.05,22555.72,5.479488,1674260039999,123395.55160119,66,4.468246,100658.92058742
1674260040000,22527.89,22555.0,22527.78,22530.32,1.082386,1674260099999,24396.02944837,28,0.511713,11536.06884366
1674260100000,22525.0,22540.44,22502.41,22525.51,1.242139,1674260159999,27974.43177821,26,0.474439,10686.85587918
1674260160000,22507.0,22519.1,22490.91,22493.5,5.799379,1674260219999,130503.65855404,73,1.769488,39832.42535132
1674260220000,22493.5,22501.9,22477.64,22491.61,2.848779,1674260279999,64070.81736185,50,1.71782,38639.80099183
1674260280000,22502.35,22538.14,22500.74,22538.14,8.877269,1674260339999,199927.56604042,68,6.708208,151083.52373189
1674260340000,22540.42,22540.42,22513.63,22539.12,3.105675,1674260399999,69960.81025761,68,1.935588,43602.9379604
1674260400000,22540.42,22584.83,22540.42,22567.6,6.237928,1674260459999,140723.42893806,126,3.548353,80043.59002562
1674260460000,22567.65,22587.82,22555.16,22566.88,4.923787,1674260519999,111132.68264431,99,1.978906,44664.82196538
1674260520000,22568.82,22588.19,22543.78,22549.71,10.047604,1674260579999,226717.10096641,137,4.082783,92155.7726144
1674260580000,22546.88,22559.75,22543.75,22559.75,4.010248,1674260639999,90429.21885619,72,3.011048,67900.23281123
1674260640000,22559.75,22570.92,22551.39,22551.4,5.493597,1674260699999,123937.80700195,91,2.345404,52918.02912413
1674260700000,22550.18,22584.04,22547.09,22577.55,7.232196,1674260759999,163239.38699232,112,4.302406,97109.43230488
1674260760000,22572.59,22588.98,22561.29,22586.36,4.18272,1674260819999,94430.10856134,86,3.330513,75193.2176293
1674260820000,22587.45,22616.07,22587.43,22592.28,6.144765,1674260879999,138880.77839426,135,3.416262,77217.49798221
1674260880000,22597.79,22616.42,22582.94,22583.79,2.533084,1674260939999,57250.96038484,53,1.348904,30489.92901768
1674260940000,22583.78,22603.79,22577.53,22599.8,1.789599,1674260999999,40427.00346512,64,1.274027,28779.35579555
1674261000000,22601.17,22626.98,22596.92,22609.39,4.812574,1674261059999,108805.5858111,97,3.867902,87445.76114408
1674261060000,22614.52,22622.68,22605.82,22619.41,1.453684,1674261119999,32877.65279014,27,0.662822,14992.54329794
1674261120000,22614.45,22631.49,22614.45,22619.64,3.942346,1674261179999,89178.83240565,57,0.913636,20670.44351275
1674261180000,22619.75,22647.98,22619.75,22639.73,3.047776,1674261239999,68983.00331559,64,1.347903,30511.94914751
1674261240000,22642.01,22658.55,22632.13,22638.91,1.290895,1674261299999,29233.30748919,25,0.538947,12205.85516718
1674261300000,22641.59,22651.35,22635.72,22640.49,0.502381,1674261359999,11376.58365514,24,0.390771,8849.50852444
1674261360000,22630.19,22630.67,22593.71,22593.83,9.278533,1674261419999,209825.28505134,101,1.172862,26511.17609614
1674261420000,22595.41,22618.93,22568.48,22607.36,4.082492,1674261479999,92240.29139815,88,3.271195,73914.86166895
1674261480000,22608.13,22627.32,22597.64,22626.01,6.160161,1674261539999,139306.56879196,83,1.955848,44244.670447
1674261540000,22617.54,22624.26,22605.22,22622.28,3.565543,1674261599999,80634.07848486,63,2.256524,51034.44833692
1674261600000,22615.37,22634.58,22612.05,22615.6,2.556219,1674261659999,57826.54475162,69,1.568079,35472.1770839
1674261660000,22620.13,22622.06,22602.89,22613.25,1.207578,1674261719999,27308.22000702,39,0.944665,21362.21847356
1674261720000,22611.56,22622.06,22603.51,22622.06,2.194397,1674261779999,49618.28306056,57,0.959037,21687.68890005
1674261780000,22622.05,22640.9,22612.4,22615.12,5.24315,1674261839999,118637.7062028,78,4.064169,91966.53434242
1674261840000,22621.61,22628.04,22608.2,22622.13,1.859696,1674261899999,42054.74395286,68,0.926616,20956.12990941
1674261900000,22628.04,22642.98,22619.74,22619.75,4.898877,1674261959999,110867.74542024,117,1.632772,36957.21628909
1674261960000,22626.87,22639.88,22626.87,22632.12,3.578883,1674262019999,80999.56059255,80,1.809348,40950.71632531
1674262020000,22636.9,22636.93,22606.76,22617.1,0.981113,1674262079999,22191.53032437,30,0.446181,10089.8980326
1674262080000,22604.38,22613.07,22602.97,22610.4,1.360896,1674262139999,30769.51908967,44,1.23926,28019.29057135
