open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_base_volume,taker_buy_quote_volume
1678233600000,22197.47,22202.61,22191.92,22199.39,7.36995,1678233659999,163591.5479499,96,4.4399,98553.2596332
1678233660000,22199.13,22223.01,22198.34,22221.58,8.4608,1678233719999,187939.2649053,116,5.74172,127533.471064
1678233720000,22221.77,22229.68,22217.0,22221.87,5.0843,1678233779999,112997.9881119,81,2.56114,56921.9426584
1678233780000,22221.27,22258.75,22220.01,22257.33,8.57313,1678233839999,190656.9425262,152,4.85456,107982.7115298
1678233840000,22256.47,22285.54,22252.29,22265.38,15.72091,1678233899999,350150.8555116,214,6.93478,154461.9281361
1678233900000,22265.34,22265.82,22234.95,22246.06,12.41515,1678233959999,276228.8215665,165,6.19382,137806.3019048
1678233960000,22243.83,22260.58,22232.02,22256.0,7.52695,1678234019999,167455.4503619,114,3.55344,79060.8153985
1678234020000,22256.02,22257.68,22219.79,22228.51,14.82334,1678234079999,329532.2226125,129,2.63654,58608.137281
1678234080000,22228.25,22231.87,22221.31,22223.71,5.74358,1678234139999,127654.9265206,92,3.3406,74248.5527025
1678234140000,22222.46,22231.35,22222.2,22227.71,2.98668,1678234199999,66384.1690057,60,1.19032,26457.5827175
1678234200000,22228.9,22247.3,22223.76,22245.06,4.77377,1678234259999,106152.4820877,53,3.73581,83079.4699057
1678234260000,22247.11,22255.38,22243.71,22255.38,3.1066,1678234319999,69122.1208327,56,1.69705,37758.825705
1678234320000,22257.44,22268.16,22252.1,22252.1,3.92644,1678234379999,87404.1297613,69,1.8795,41838.7355152
1678234380000,22252.61,22257.83,22250.42,22252.94,1.56507,1678234439999,34831.2850165,27,0.74886,16666.9669897
1678234440000,22250.16,22253.76,22239.36,22245.82,4.40885,1678234499999,98079.8046438,50,2.15531,47952.2610576
1678234500000,22246.8,22253.17,22241.11,22244.58,3.48081,1678234559999,77436.600441,69,2.21511,49280.9995063
1678234560000,22242.17,22247.66,22231.94,22235.77,7.85429,1678234619999,174651.4092539,69,5.1419,114330.1746426
1678234620000,22236.76,22247.17,22230.91,22246.08,3.39291,1678234679999,75458.4090813,70,1.37731,30632.1114003
1678234680000,22246.52,22258.67,22246.52,22255.31,2.93218,1678234739999,65245.7609704,51,2.10265,46788.6274984
1678234740000,22257.51,22257.51,22253.43,22254.22,1.21492,1678234799999,27037.643981,14,0.16606,3695.74244
1678234800000,22252.17,22258.5,22252.17,22254.96,3.01129,1678234859999,67018.5067768,43,1.78842,39803.0654179
1678234860000,22255.3,22260.38,22255.29,22256.67,0.90071,1678234919999,20047.8884942,20,0.46677,10389.6854314
1678234920000,22260.01,22266.36,22248.97,22253.57,2.63073,1678234979999,58551.9538919,61,1.1489,25570.5088707
1678234980000,22254.9,22261.69,22249.99,22261.69,0.26823,1678235039999,5969.9303502,13,0.19195,4272.3642424
1678235040000,22260.47,22260.47,22246.2,22250.05,2.83541,1678235099999,63093.8149518,56,0.81508,18134.9718232
1678235100000,22250.38,22252.01,22239.75,22242.37,1.95462,1678235159999,43477.1548454,39,0.36449,8107.2161969
1678235160000,22239.99,22241.44,22222.72,22222.72,6.21259,1678235219999,138110.7694778,111,2.85451,63451.7415359
1678235220000,22222.27,22232.32,22221.43,22228.19,2.00901,1678235279999,44652.1790125,40,1.28989,28669.8434512
1678235280000,22227.7,22229.79,22212.17,22214.9,8.62558,1678235339999,191655.697915,88,1.64287,36512.7162987
1678235340000,22215.75,22222.71,22214.6,22221.1,4.24616,1678235399999,94341.084928,65,2.0748,46101.583826
1678235400000,22230.15,22233.03,22225.04,22225.04,1.11056,1678235459999,24686.3493674,14,0.75455,16773.259656
1678235460000,22227.48,22250.35,22224.85,22250.35,3.41931,1678235519999,76041.9808922,60,2.5056,55726.1204737
1678235520000,22250.45,22258.15,22242.14,22242.14,2.84653,1678235579999,63329.4205989,60,0.70642,15718.1306888
1678235580000,22243.66,22248.89,22229.07,22238.13,5.93197,1678235639999,131899.9290847,81,1.69682,37730.7580637
1678235640000,22236.04,22237.7,22233.62,22235.44,0.95497,1678235699999,21233.569134,26,0.50793,11293.486911
1678235700000,22236.66,22241.11,22232.69,22235.36,0.84787,1678235759999,18853.1162966,23,0.36039,8013.0816979
1678235760000,22237.29,22237.29,22214.94,22220.99,6.46857,1678235819999,143760.3679504,57,3.70009,82239.2373905
1678235820000,22217.72,22222.77,22211.79,22218.96,1.4766,1678235879999,32802.3305991,17,0.39881,8859.9388912
1678235880000,22217.17,22217.17,22212.33,22216.54,1.25358,1678235939999,27848.8795323,14,0.84931,18868.221035
1678235940000,22218.04,22220.35,22217.07,22217.07,1.02139,1678235999999,22693.5771423,17,0.49026,10892.8386168
1678236000000,22218.76,22222.54,22217.46,22222.54,0.03105,1678236059999,689.9296236,3,0.03105,689.9296236
1678236060000,22219.29,22222.98,22219.29,22220.55,0.90478,1678236119999,20104.3983702,12,0.6211,13800.7723762
1678236120000,22220.14,22234.51,22220.14,22225.69,2.96299,1678236179999,65865.4786104,42,1.21005,26902.1709114
1678236180000,22226.28,22228.83,22226.28,22226.35,0.0807,1678236239999,1793.7634092,6,0.04048,899.7956481
1678236240000,22228.52,22230.0,22228.51,22230.0,0.08159,1678236299999,1813.6756943,5,0.08159,1813.6756943
1678236300000,22230.13,22231.73,22230.13,22230.31,0.32303,1678236359999,7181.2854183,12,0.12494,2777.4872205
1678236360000,22229.93,22230.08,22228.73,22230.08,0.07604,1678236419999,1690.3057592,5,0.00596,132.4912768
1678236420000,22232.0,22241.94,22223.25,22228.91,2.5552,1678236479999,56818.2748447,45,1.7743,39457.7380364
1678236480000,22231.32,22231.32,22222.94,22222.94,0.4354,1678236539999,9677.1063996,5,0.15025,3339.9352005
1678236540000,22224.08,22224.08,22224.08,22224.08,0.21073,1678236599999,4683.2803784,1,0.21073,4683.2803784
1678236600000,22224.08,22224.08,22224.08,22224.08,0.0,1678236659999,0.0,0,0.0,0.0
1678236660000,22229.74,22233.77,22229.51,22229.51,0.27623,1678236719999,6141.1491249,11,0.2014,4477.548073
1678236720000,22229.7,22233.57,22229.47,22233.57,0.90412,1678236779999,20099.7059281,13,0.24796,5512.827785
1678236780000,22233.98,22235.0,22233.98,22235.0,0.07253,1678236839999,1612.6586806,2,0.02756,612.7966
1678236840000,22234.0,22234.82,22231.63,22234.82,0.23736,1678236899999,5277.1268458,6,0.04498,1000.1160548
1678236900000,22236.1,22242.2,22229.38,22229.38,5.53179,1678236959999,123006.0935345,63,4.44952,98944.8470655
1678236960000,22233.74,22251.55,22231.41,22241.75,12.87767,1678237019999,286436.8812176,116,10.16956,226221.9684889
1678237020000,22241.75,22248.8,22241.75,22242.75,2.81919,1678237079999,62711.6289629,34,1.47584,32828.8275921
1678237080000,22243.38,22247.23,22242.03,22242.03,0.9397,1678237139999,20902.6511286,22,0.14948,3325.4579017
1678237140000,22244.4,22248.73,22244.4,22248.73,0.30831,1678237199999,6858.7485169,9,0.1431,3183.541628
1678237200000,22248.06,22249.0,22246.45,22246.45,0.55543,1678237259999,12357.2187411,9,0.40543,9019.8882411
1678237260000,22246.0,22248.79,22243.27,22248.79,0.24262,1678237319999,5397.2462215,16,0.11174,2485.9298579
1678237320000,22243.94,22244.21,22234.1,22234.11,0.66488,1678237379999,14784.8348555,7,0.25387,5646.39532
1678237380000,22233.89,22235.39,22231.97,22232.47,1.63222,1678237439999,36290.3235516,10,0.61642,13704.9528312
1678237440000,22234.76,22234.76,22234.76,22234.76,0.00091,1678237499999,20.2336316,1,0.00091,20.2336316
1678237500000,22234.76,22234.76,22227.06,22227.06,0.48336,1678237559999,10746.4311304,8,0.0146,324.523623
1678237560000,22222.2,22222.2,22222.2,22222.2,0.02756,1678237619999,612.443832,1,0.0,0.0
1678237620000,22219.16,22219.16,22210.15,22210.15,0.40554,1678237679999,9008.3384457,6,0.38142,8472.4349216
1678237680000,22213.62,22221.76,22213.62,22218.54,1.80088,1678237739999,40011.1446468,18,1.20005,26662.0314328
1678237740000,22219.2,22222.91,22219.2,22221.43,0.20031,1678237799999,4451.0182761,9,0.05563,1236.1663068
1678237800000,22223.1,22223.46,22219.13,22219.73,0.91967,1678237859999,20435.5527976,16,0.64895,14420.1569739
1678237860000,22218.88,22218.88,22218.88,22218.88,0.02799,1678237919999,621.9064512,1,0.0,0.0
1678237920000,22218.4,22218.4,22218.4,22218.4,0.18099,1678237979999,4021.308216,1,0.18099,4021.308216
1678237980000,22220.91,22222.13,22219.19,22222.13,0.71967,1678238039999,15991.5102977,13,0.67703,15043.9847629
1678238040000,22223.75,22234.36,22222.83,22222.99,1.96325,1678238099999,43635.990614,34,0.33029,7341.7557763
1678238100000,22226.74,22227.22,22226.74,22226.77,0.8152,1678238159999,18119.4754435,12,0.026,577.90174
1678238160000,22226.77,22251.8,22226.77,22248.92,2.42623,1678238219999,53979.450944,30,2.02952,45152.7084546
1678238220000,22247.55,22256.56,22246.55,22250.64,4.91161,1678238279999,109296.2611527,50,3.80173,84600.6167977
