open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_base_volume,taker_buy_quote_volume
1694822400000,26599.99,26614.0,26592.79,26610.94,0.25897,1694822459999,6890.1124472,11,0.25514,6788.2277366
1694822460000,26618.06,26618.06,26618.06,26618.06,0.00093,1694822519999,24.7547958,1,0.00093,24.7547958
1694822520000,26610.62,26610.62,26590.05,26604.93,0.02772,1694822579999,737.6051174,11,0.0006,15.9631905
1694822580000,26590.01,26603.22,26586.69,26586.69,0.1132,1694822639999,3010.9755918,9,0.10204,2714.2461157
1694822640000,26596.6,26596.6,26579.9,26584.99,0.15326,1694822699999,4074.1842135,14,0.00898,238.7950644
1694822700000,26576.79,26576.79,26573.44,26575.0,0.06321,1694822759999,1679.8166965,9,0.0,0.0
1694822760000,26605.0,26610.0,26600.0,26610.0,0.02659,1694822819999,707.43825,4,0.02659,707.43825
1694822820000,26604.93,26625.0,26604.93,26624.99,0.06007,1694822879999,1599.0603746,12,0.05741,1528.2912526
1694822880000,26629.99,26643.18,26620.56,26640.0,0.09102,1694822939999,2424.3932826,22,0.07079,1885.7555365
1694822940000,26640.0,26640.0,26625.01,26629.34,0.08717,1694822999999,2321.5187403,12,0.06143,1636.1883837
1694823000000,26640.0,26640.0,26625.51,26625.51,0.02497,1694823059999,664.8798366,8,0.00336,89.5025655
1694823060000,26634.33,26634.33,26634.01,26634.01,0.0072,1694823119999,191.765832,3,0.0072,191.765832
1694823120000,26633.76,26633.76,26625.53,26625.53,0.5051,1694823179999,13449.1701493,21,0.07448,1983.6807507
1694823180000,26632.29,26632.29,26619.93,26623.91,0.61153,1694823239999,16282.2855575,15,0.00203,54.0626269
1694823240000,26605.01,26605.14,26605.01,26605.14,0.00281,1694823299999,74.7601509,2,0.0,0.0
1694823300000,26623.89,26623.89,26601.92,26601.92,0.16905,1694823359999,4498.224583,10,0.00476,126.7010192
1694823360000,26601.92,26620.0,26600.01,26620.0,0.09469,1694823419999,2519.2217124,11,0.03144,836.6504634
1694823420000,26623.93,26623.93,26623.93,26623.93,0.006,1694823479999,159.74358,1,0.006,159.74358
1694823480000,26625.39,26646.0,26615.21,26646.0,0.03719,1694823539999,990.7637743,17,0.03471,924.7537543
1694823540000,26646.62,26655.0,26645.0,26645.0,0.0565,1694823599999,1505.7898198,22,0.03796,1011.7893598
1694823600000,26657.79,26668.88,26651.53,26651.53,0.02093,1694823659999,557.9932252,30,0.01635,435.9091859
1694823660000,26659.98,26660.0,26651.12,26654.99,0.02475,1694823719999,659.7628443,5,0.01875,499.8561243
1694823720000,26653.9,26653.9,26640.01,26653.9,0.00687,1694823779999,183.0992364,4,0.00593,158.057627
1694823780000,26649.99,26649.99,26644.99,26649.99,0.02127,1694823839999,566.7609714,5,0.02127,566.7609714
1694823840000,26649.99,26649.99,26639.99,26639.99,0.00608,1694823899999,161.9936392,4,0.00608,161.9936392
1694823900000,26645.14,26655.0,26645.14,26655.0,0.00394,1694823959999,105.0184322,2,0.00371,98.89005
1694823960000,26655.0,26655.0,26655.0,26655.0,0.0,1694824019999,0.0,0,0.0,0.0
1694824020000,26645.66,26654.99,26645.66,26654.99,0.0074,1694824079999,197.1915047,4,0.00144,38.3831856
1694824080000,26654.99,26654.99,26654.99,26654.99,0.00225,1694824139999,59.9737275,1,0.00225,59.9737275
1694824140000,26650.07,26657.88,26650.07,26657.88,0.01025,1694824199999,273.196895,6,0.00647,172.4596304
1694824200000,26663.81,26670.37,26655.04,26670.0,0.15983,1694824259999,4261.8702029,17,0.12152,3240.6955135
1694824260000,26665.21,26672.41,26665.21,26670.1,0.03276,1694824319999,873.7488896,8,0.021,560.1203657
1694824320000,26670.0,26672.6,26670.0,26672.6,0.00355,1694824379999,94.679436,2,0.00036,9.602136
1694824380000,26663.32,26672.49,26663.32,26672.49,0.00563,1694824439999,150.1490625,2,0.00377,100.5552873
1694824440000,26670.0,26670.0,26665.98,26665.98,0.01441,1694824499999,384.2995446,2,0.0,0.0
1694824500000,26672.58,26673.51,26659.86,26671.2,0.0547,1694824559999,1458.9200927,18,0.04865,1297.6276417
1694824560000,26650.01,26660.0,26650.0,26659.99,0.0695,1694824619999,1852.18881,8,0.00149,39.7221923
1694824620000,26663.86,26663.86,26659.99,26659.99,0.00131,1694824679999,34.9288349,5,0.00126,33.5956509
1694824680000,26645.01,26654.99,26643.18,26645.02,0.03294,1694824739999,877.6680904,8,5e-05,1.3327495
1694824740000,26654.99,26654.99,26645.03,26654.94,0.01128,1694824799999,300.6305093,9,0.00751,200.1787462
1694824800000,26645.1,26645.1,26630.0,26630.0,0.73331,1694824859999,19538.7264778,11,5e-05,1.3319995
1694824860000,26639.99,26639.99,26631.66,26631.67,0.00292,1694824919999,77.7778671,5,0.00161,42.8903839
1694824920000,26630.0,26634.99,26617.0,26617.0,2.52179,1694824979999,67124.634005,26,1.73833,46269.1378854
1694824980000,26617.0,26637.37,26617.0,26637.37,2.51905,1694825039999,67095.6948653,9,2.51905,67095.6948653
1694825040000,26624.94,26634.78,26620.01,26629.97,0.0115,1694825099999,306.2315152,10,0.01092,290.7919094
1694825100000,26629.96,26629.97,26625.0,26625.0,0.07096,1694825159999,1889.4884777,5,0.03593,956.8147277
1694825160000,26635.02,26635.02,26635.02,26635.02,0.00225,1694825219999,59.928795,1,0.00225,59.928795
1694825220000,26625.98,26625.98,26625.97,26625.97,0.01931,1694825279999,514.1475607,2,0.0,0.0
1694825280000,26630.46,26630.46,26560.0,26620.0,11.57417,1694825339999,307821.5547773,79,1.22087,32494.6848562
1694825340000,26605.07,26623.0,26605.07,26623.0,0.04514,1694825399999,1201.6577171,15,0.04289,1141.7963096
1694825400000,26634.59,26648.49,26618.12,26648.49,0.93422,1694825459999,24884.0204595,20,0.92563,24655.3106272
1694825460000,26631.89,26631.89,26631.89,26631.89,0.00371,1694825519999,98.8043119,2,0.0,0.0
1694825520000,26649.99,26649.99,26644.94,26644.94,0.01977,1694825579999,526.7922711,6,0.00144,38.3759856
1694825580000,26642.12,26644.74,26642.11,26644.74,0.04316,1694825639999,1149.8735753,4,4e-05,1.0657896
1694825640000,26639.83,26639.83,26628.85,26628.85,0.00143,1694825699999,38.0846357,3,0.00049,13.0535167
1694825700000,26639.63,26639.63,26639.38,26639.39,0.00601,1694825759999,160.1037101,4,0.00601,160.1037101
1694825760000,26639.27,26639.27,26639.27,26639.27,0.10086,1694825819999,2686.8367722,4,0.10086,2686.8367722
1694825820000,26639.2,26639.2,26627.46,26627.46,0.00941,1694825879999,250.6159038,4,0.0044,117.2123292
1694825880000,26633.74,26633.74,26620.35,26620.36,0.01205,1694825939999,320.7802969,4,0.00037,9.8544838
1694825940000,26632.74,26632.74,26629.86,26629.87,0.10772,1694825999999,2868.5760214,5,0.10772,2868.5760214
1694826000000,26629.99,26629.99,26629.99,26629.99,4e-05,1694826059999,1.0651996,1,4e-05,1.0651996
1694826060000,26629.99,26629.99,26620.4,26620.4,0.06341,1694826119999,1688.4638311,5,0.04841,1289.1578159
1694826120000,26620.39,26620.39,26620.39,26620.39,0.00225,1694826179999,59.8958775,1,0.0,0.0
1694826180000,26629.99,26629.99,26629.99,26629.99,0.00306,1694826239999,81.4877694,2,0.00306,81.4877694
1694826240000,26629.99,26629.99,26629.99,26629.99,0.09251,1694826299999,2463.5403749,1,0.09251,2463.5403749
1694826300000,26629.99,26629.99,26629.99,26629.99,0.76906,1694826359999,20480.0601094,7,0.76906,20480.0601094
1694826360000,26625.18,26639.99,26625.18,26636.09,1.1455,1694826419999,30509.4643055,13,1.09352,29124.9465748
1694826420000,26638.59,26638.59,26620.25,26638.59,0.00883,1694826479999,235.1842705,4,0.00695,185.1382005
1694826480000,26638.59,26650.0,26638.59,26650.0,0.55783,1694826539999,14860.0705082,6,0.55783,14860.0705082
1694826540000,26650.0,26650.0,26650.0,26650.0,0.0,1694826599999,0.0,0,0.0,0.0
1694826600000,26649.92,26649.99,26642.25,26642.26,0.06368,1694826659999,1696.6825621,12,0.0037,98.604963
1694826660000,26649.99,26649.99,26649.99,26649.99,0.00286,1694826719999,76.2189714,4,0.00286,76.2189714
1694826720000,26649.99,26652.36,26649.99,26652.36,0.20873,1694826779999,5562.6724118,11,0.201,5356.6530702
1694826780000,26652.75,26660.92,26640.01,26658.45,0.1328,1694826839999,3540.3198438,22,0.11543,3077.321282
1694826840000,26645.01,26662.21,26645.01,26662.21,0.00369,1694826899999,98.3448549,4,0.00144,38.3935824
1694826900000,26662.28,26670.37,26662.28,26670.37,0.02016,1694826959999,537.6083536,12,0.02016,537.6083536
1694826960000,26670.37,26670.37,26670.37,26670.37,0.0,1694827019999,0.0,0,0.0,0.0
1694827020000,26656.62,26678.9,26656.62,26678.88,0.05078,1694827079999,1354.2884419,15,0.03818,1018.4149561
1694827080000,26678.89,26678.89,26668.0,26668.0,0.03631,1694827139999,968.5579378,7,0.0,0.0
1694827140000,26668.4,26668.4,26650.01,26650.01,0.00851,1694827199999,226.864935,3,0.00061,16.267724
1694827200000,26654.49,26654.49,26650.0,26650.0,0.0311,1694827259999,828.8346954,7,0.00635,169.2471355
