open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_base_volume,taker_buy_quote_volume
1720396800000,55905.14,55905.14,55905.14,55905.14,3e-05,1720396859999,1.6771542,1,3e-05,1.6771542
1720396860000,55890.42,55890.42,55749.82,55749.82,0.01715,1720396919999,956.7614034,5,0.0069,385.3257484
1720396920000,55760.79,55823.53,55760.79,55823.53,0.00156,1720396979999,87.0015614,4,0.00156,87.0015614
1720396980000,55773.83,55805.6,55647.36,55805.6,0.04201,1720397039999,2339.709875,25,0.00951,529.659427
1720397040000,55788.27,55788.27,55788.27,55788.27,0.00807,1720397099999,450.2113389,1,0.00807,450.2113389
1720397100000,55772.04,55772.04,55579.22,55617.56,0.03533,1720397159999,1965.4733598,25,0.00777,432.3923311
1720397160000,55616.46,55702.37,55616.4,55678.86,0.0038,1720397219999,211.3477176,6,0.0038,211.3477176
1720397220000,55709.53,55709.53,55709.53,55709.53,2e-05,1720397279999,1.1141906,1,2e-05,1.1141906
1720397280000,55694.49,55694.49,55694.49,55694.49,2e-05,1720397339999,1.1138898,1,2e-05,1.1138898
1720397340000,55611.39,55625.66,55606.28,55606.28,0.00705,1720397399999,392.107876,3,0.00705,392.107876
1720397400000,55606.12,55616.54,55565.22,55616.54,0.01242,1720397459999,690.6768811,8,0.01076,598.4284982
1720397460000,55714.76,55714.76,55673.66,55673.66,4e-05,1720397519999,2.2277684,2,4e-05,2.2277684
1720397520000,55639.46,55639.46,55639.46,55639.46,4e-05,1720397579999,2.2255784,1,4e-05,2.2255784
1720397580000,55680.15,55680.15,55605.07,55605.07,0.00629,1720397639999,349.7581427,2,3e-05,1.6704045
1720397640000,55605.07,55605.07,55605.07,55605.07,0.0,1720397699999,0.0,0,0.0,0.0
1720397700000,55663.06,55663.07,55641.47,55641.47,0.02187,1720397759999,1217.3119044,7,0.02187,1217.3119044
1720397760000,55705.18,55808.87,55705.18,55808.83,0.00144,1720397819999,80.3485951,6,0.0013,72.5442503
1720397820000,55808.79,55808.79,55733.79,55733.79,0.00075,1720397879999,41.8280499,3,0.00063,35.1399951
