open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_base_volume,taker_buy_quote_volume
1699401600000,35405.58,35405.58,35385.6,35385.6,0.02618,1699401659999,926.8149531,9,0.02478,877.2751131
1699401660000,35404.41,35404.41,35372.4,35392.97,0.02477,1699401719999,876.5501143,14,0.01575,557.4530291
1699401720000,35392.98,35392.98,35370.08,35382.31,0.05142,1699401779999,1818.8115079,17,0.00831,293.9986581
1699401780000,35382.31,35382.31,35350.26,35366.5,0.19623,1699401839999,6940.1747287,30,0.10837,3833.0105667
1699401840000,35366.5,35366.5,35339.8,35340.18,0.25107,1699401899999,8875.5326695,27,0.07242,2560.3715855
1699401900000,35355.28,35379.89,35348.1,35379.89,0.11376,1699401959999,4022.3342226,25,0.09709,3432.9802256
1699401960000,35379.9,35387.6,35379.9,35387.48,0.02456,1699402019999,869.1093834,9,0.01651,584.2483388
1699402020000,35387.48,35387.62,35387.48,35387.62,0.006,1699402079999,212.3257018,3,0.00587,207.7253294
1699402080000,35387.62,35405.49,35387.62,35405.49,0.06574,1699402139999,2327.0408268,17,0.06219,2201.3575918
1699402140000,35400.25,35405.5,35395.3,35405.0,0.02138,1699402199999,756.9644257,15,0.01757,622.0728217
1699402200000,35405.0,35405.0,35376.47,35376.47,0.02717,1699402259999,961.4996994,8,0.01138,402.77688
1699402260000,35378.87,35378.87,35358.82,35358.82,0.00398,1699402319999,140.7477526,2,0.00098,34.6712926
1699402320000,35380.82,35394.07,35380.82,35394.07,0.01539,1699402379999,544.6987098,5,0.00409,144.7458318
1699402380000,35393.94,35393.94,35372.52,35372.52,0.01152,1699402439999,407.736261,5,0.00719,254.4824286
1699402440000,35393.92,35393.92,35376.9,35393.92,0.00663,1699402499999,234.6370106,5,0.00518,183.3405056
1699402500000,35393.92,35394.12,35393.92,35393.92,0.02307,1699402559999,816.5377764,6,0.00021,7.4327652
1699402560000,35393.65,35393.65,35383.6,35383.6,0.02051,1699402619999,725.7529172,5,0.00013,4.6011745
1699402620000,35388.9,35388.91,35380.0,35380.0,0.02606,1699402679999,922.210821,13,0.02455,868.7850919
1699402680000,35370.0,35380.5,35370.0,35380.5,0.01584,1699402739999,560.4145655,7,0.0,0.0
1699402740000,35370.0,35374.12,35342.57,35347.68,0.03537,1699402799999,1250.5003719,24,0.00433,153.1498133
1699402800000,35365.09,35365.09,35341.18,35341.18,0.0323,1699402859999,1141.8577083,5,0.00063,22.2800067
1699402860000,35357.11,35357.11,35341.18,35341.18,0.015,1699402919999,530.3033331,7,0.00744,263.0563328
1699402920000,35357.36,35357.36,35328.02,35345.24,0.05307,1699402979999,1875.6337752,17,0.00794,280.6492057
1699402980000,35345.24,35345.24,35323.53,35323.53,0.30735,1699403039999,10858.173679,11,0.00187,66.0726962
1699403040000,35336.74,35340.65,35320.01,35320.02,0.03567,1699403099999,1260.3285411,23,0.0047,166.012554
1699403100000,35336.42,35336.42,35310.0,35310.0,0.09413,1699403159999,3324.8556458,15,0.0167,590.035589
1699403160000,35325.1,35325.1,35294.78,35294.78,0.46137,1699403219999,16286.469149,20,0.00053,18.722303
1699403220000,35305.67,35305.67,35294.72,35299.99,0.10877,1699403279999,3839.5031824,19,0.07462,2634.1854713
1699403280000,35300.0,35321.86,35300.0,35321.74,1.9345,1699403339999,68301.9395662,7,1.9345,68301.9395662
1699403340000,35321.74,35327.16,35319.67,35321.75,0.04139,1699403399999,1462.0666928,10,0.03285,1160.433175
1699403400000,35315.76,35333.29,35309.42,35310.0,0.06594,1699403459999,2328.4466864,35,0.00758,267.7055222
1699403460000,35310.01,35315.17,35294.73,35294.73,0.17946,1699403519999,6334.8091522,80,0.02553,901.5943711
1699403520000,35307.29,35307.29,35288.22,35288.22,0.12124,1699403579999,4278.853343,17,0.02301,812.1367357
1699403580000,35295.26,35295.26,35274.05,35285.32,0.12121,1699403639999,4276.7783612,43,0.01462,515.8513962
1699403640000,35285.36,35293.0,35273.31,35273.32,0.01492,1699403699999,526.3568342,10,3e-05,1.05879
1699403700000,35273.33,35289.67,35273.33,35280.01,0.01629,1699403759999,574.8168877,7,0.00981,346.1916627
1699403760000,35280.01,35292.31,35271.4,35271.4,0.08523,1699403819999,3006.6663336,13,0.00866,305.6304553
1699403820000,35291.74,35291.74,35268.0,35286.21,0.69147,1699403879999,24390.0890189,22,0.17815,6286.2503061
1699403880000,35286.08,35286.08,35250.0,35270.53,0.09288,1699403939999,3274.7245852,91,0.01258,443.7330536
1699403940000,35270.42,35270.59,35270.42,35270.59,0.00629,1699403999999,221.8518887,3,0.00629,221.8518887
1699404000000,35284.69,35297.49,35284.69,35297.03,0.07497,1699404059999,2646.0049482,17,0.07367,2600.1302362
1699404060000,35297.04,35297.04,35297.04,35297.04,0.00025,1699404119999,8.82426,1,0.0,0.0
1699404120000,35305.88,35312.59,35297.18,35312.59,0.16627,1699404179999,5870.9633407,16,0.16407,5793.2954823
1699404180000,35298.14,35324.92,35298.13,35324.92,0.05123,1699404239999,1809.3699605,15,0.04703,1661.0772755
1699404240000,35318.58,35324.88,35310.41,35310.41,0.05757,1699404299999,2033.2887129,9,0.00066,23.3144208
1699404300000,35310.41,35310.41,35310.41,35310.41,0.0,1699404359999,0.0,0,0.0,0.0
1699404360000,35324.88,35324.88,35324.88,35324.88,0.01582,1699404419999,558.8396016,2,0.01582,558.8396016
1699404420000,35324.88,35332.08,35318.52,35318.53,0.02226,1699404479999,786.2110369,9,0.00145,51.231516
1699404480000,35322.68,35326.47,35320.0,35321.92,0.00714,1699404539999,252.2061806,6,0.00141,49.8093522
1699404540000,35320.0,35320.0,35310.41,35315.19,0.13971,1699404599999,4933.3442052,6,0.02643,933.3809426
1699404600000,35315.19,35315.19,35315.19,35315.19,0.0,1699404659999,0.0,0,0.0,0.0
1699404660000,35320.0,35330.19,35311.48,35311.55,0.01677,1699404719999,592.2757907,7,0.00501,177.0009026
1699404720000,35332.26,35341.18,35323.23,35341.18,0.02257,1699404779999,797.5528753,15,0.01982,700.4138888
1699404780000,35340.0,35343.68,35331.99,35331.99,0.04662,1699404839999,1647.5493877,19,0.03594,1270.2016292
1699404840000,35345.28,35348.68,35337.69,35348.68,0.05169,1699404899999,1826.9622247,31,0.03918,1384.8876521
1699404900000,35348.68,35357.37,35342.66,35350.0,0.11987,1699404959999,4237.3786286,10,0.11511,4069.1380444
1699404960000,35350.0,35350.0,35346.79,35346.79,0.00305,1699405019999,107.8085441,4,0.0,0.0
1699405020000,35348.79,35348.79,35348.79,35348.79,0.00092,1699405079999,32.5208868,2,0.0,0.0
