open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_base_volume,taker_buy_quote_volume
1718150400000,67389.28,67389.28,67331.83,67331.83,0.02286,1718150459999,1539.3649288,4,0.00012,8.0867136
1718150460000,67379.0,67379.0,67379.0,67379.0,0.00025,1718150519999,16.84475,2,0.00023,15.49717
1718150520000,67379.0,67379.0,67379.0,67379.0,0.0,1718150579999,0.0,0,0.0,0.0
1718150580000,67379.0,67379.0,67379.0,67379.0,0.0,1718150639999,0.0,0,0.0,0.0
1718150640000,67370.0,67370.0,67370.0,67370.0,6e-05,1718150699999,4.0422,1,6e-05,4.0422
1718150700000,67328.87,67371.55,67328.87,67371.55,0.01855,1718150759999,1249.5168401,4,0.01327,894.0204065
1718150760000,67334.17,67334.17,67334.17,67334.17,0.00092,1718150819999,61.9474364,1,0.0,0.0
1718150820000,67334.17,67334.17,67334.17,67334.17,0.0,1718150879999,0.0,0,0.0,0.0
1718150880000,67335.75,67335.75,67335.75,67335.75,0.01647,1718150939999,1109.0198025,2,0.0,0.0
1718150940000,67335.75,67335.75,67335.75,67335.75,0.0,1718150999999,0.0,0,0.0,0.0
1718151000000,67378.96,67378.96,67378.96,67378.96,0.00527,1718151059999,355.0871192,3,0.00527,355.0871192
1718151060000,67378.96,67381.66,67378.96,67381.66,0.00371,1718151119999,249.9798665,3,0.00371,249.9798665
1718151120000,67390.0,67390.0,67390.0,67390.0,4e-05,1718151179999,2.6956,2,4e-05,2.6956
1718151180000,67390.0,67396.65,67390.0,67396.65,0.0004,1718151239999,26.958261,3,0.0004,26.958261
1718151240000,67396.65,67396.65,67396.65,67396.65,0.0,1718151299999,0.0,0,0.0,0.0
1718151300000,67466.39,67466.39,67466.39,67466.39,3e-05,1718151359999,2.0239917,1,3e-05,2.0239917
1718151360000,67466.29,67466.31,67466.29,67466.31,0.01482,1718151419999,999.8505732,4,0.01142,770.4651192
1718151420000,67466.31,67466.31,67466.31,67466.31,0.0,1718151479999,0.0,0,0.0,0.0
1718151480000,67381.37,67381.39,67381.37,67381.38,0.01255,1718151539999,845.6363338,3,0.0,0.0
1718151540000,67465.49,67465.49,67465.49,67465.49,0.00029,1718151599999,19.5649921,1,0.00029,19.5649921
1718151600000,67465.49,67465.49,67465.49,67465.49,0.0,1718151659999,0.0,0,0.0,0.0
1718151660000,67325.27,67325.27,67325.26,67325.26,0.01437,1718151719999,967.464039,4,0.0,0.0
1718151720000,67325.26,67325.26,67325.26,67325.26,0.0,1718151779999,0.0,0,0.0,0.0
1718151780000,67325.26,67325.26,67325.26,67325.26,0.0,1718151839999,0.0,0,0.0,0.0
1718151840000,67300.01,67300.01,67285.86,67285.86,0.03869,1718151899999,2603.8301602,5,0.0,0.0
1718151900000,67326.38,67326.38,67326.38,67326.38,3e-05,1718151959999,2.0197914,1,3e-05,2.0197914
1718151960000,67326.38,67326.38,67326.38,67326.38,0.0,1718152019999,0.0,0,0.0,0.0
1718152020000,67326.25,67326.25,67326.25,67326.25,2e-05,1718152079999,1.346525,1,2e-05,1.346525
1718152080000,67326.22,67326.22,67326.22,67326.22,2e-05,1718152139999,1.3465244,1,2e-05,1.3465244
1718152140000,67322.82,67322.82,67322.82,67322.82,0.00068,1718152199999,45.7795176,2,0.00068,45.7795176
1718152200000,67322.66,67348.2,67322.65,67348.18,0.21465,1718152259999,14453.6940178,48,0.21465,14453.6940178
1718152260000,67348.18,67348.18,67348.18,67348.18,2e-05,1718152319999,1.3469636,1,2e-05,1.3469636
1718152320000,67348.16,67348.16,67255.21,67255.21,0.00636,1718152379999,427.7858926,3,0.00046,30.9801536
1718152380000,67255.21,67255.21,67255.21,67255.21,0.00102,1718152439999,68.6003142,1,0.0,0.0
1718152440000,67232.42,67232.42,67225.34,67225.34,0.00142,1718152499999,95.4618944,3,0.0,0.0
1718152500000,67225.34,67225.34,67225.34,67225.34,0.0,1718152559999,0.0,0,0.0,0.0
1718152560000,67235.91,67235.91,67235.91,67235.91,0.00113,1718152619999,75.9765783,1,0.0,0.0
1718152620000,67292.87,67292.88,67292.87,67292.88,0.00037,1718152679999,24.8983652,2,0.00037,24.8983652
1718152680000,67257.0,67257.0,67257.0,67257.0,0.00015,1718152739999,10.08855,1,0.0,0.0
1718152740000,67257.04,67257.04,67257.03,67257.03,0.03717,1718152799999,2499.9440907,4,0.0,0.0
1718152800000,67257.03,67257.03,67257.03,67257.03,0.0,1718152859999,0.0,0,0.0,0.0
1718152860000,67322.75,67322.75,67240.42,67240.42,0.00113,1718152919999,75.9973173,3,0.00019,12.7913225
1718152920000,67240.42,67313.52,67240.42,67313.52,0.0124,1718152979999,834.202972,3,0.00577,388.3989874
1718152980000,67313.52,67313.52,67313.52,67313.52,0.0,1718153039999,0.0,0,0.0,0.0
1718153040000,67313.52,67313.52,67313.52,67313.52,0.0,1718153099999,0.0,0,0.0,0.0
1718153100000,67313.58,67313.58,67313.58,67313.58,8e-05,1718153159999,5.3850864,1,8e-05,5.3850864
1718153160000,67364.45,67364.45,67364.45,67364.45,5e-05,1718153219999,3.3682225,2,5e-05,3.3682225
1718153220000,67364.45,67364.45,67364.45,67364.45,0.0,1718153279999,0.0,0,0.0,0.0
1718153280000,67364.45,67364.45,67364.45,67364.45,0.0,1718153339999,0.0,0,0.0,0.0
1718153340000,67336.68,67336.68,67336.68,67336.68,0.0005,1718153399999,33.66834,1,0.0005,33.66834
1718153400000,67336.68,67336.68,67336.68,67336.68,0.0,1718153459999,0.0,0,0.0,0.0
1718153460000,67303.48,67303.48,67303.48,67303.48,2e-05,1718153519999,1.3460696,1,2e-05,1.3460696
1718153520000,67303.48,67303.48,67303.48,67303.48,0.0,1718153579999,0.0,0,0.0,0.0
1718153580000,67295.76,67295.77,67295.76,67295.77,0.00134,1718153639999,90.1763195,2,0.00134,90.1763195
1718153640000,67279.69,67279.69,67279.69,67279.69,0.00037,1718153699999,24.8934853,1,0.00037,24.8934853
1718153700000,67279.66,67279.66,67279.66,67279.66,0.0001,1718153759999,6.727966,1,0.0001,6.727966
1718153760000,67279.66,67279.66,67279.66,67279.66,0.00016,1718153819999,10.7647456,1,0.00016,10.7647456
1718153820000,67288.19,67288.19,67288.19,67288.19,0.00067,1718153879999,45.0830873,1,0.00067,45.0830873
1718153880000,67288.18,67288.18,67288.18,67288.18,0.00149,1718153939999,100.2593882,1,0.00149,100.2593882
1718153940000,67284.8,67284.8,67284.8,67284.8,0.001,1718153999999,67.2848,1,0.001,67.2848
1718154000000,67284.79,67284.79,67284.79,67284.79,2e-05,1718154059999,1.3456958,1,2e-05,1.3456958
1718154060000,67284.77,67302.97,67284.77,67302.97,0.00469,1718154119999,315.6505629,3,0.00469,315.6505629
1718154120000,67302.96,67302.96,67302.96,67302.96,0.00296,1718154179999,199.2167616,2,0.00296,199.2167616
1718154180000,67225.33,67252.8,67213.48,67213.48,0.01024,1718154239999,688.381039,8,0.00099,66.580272
1718154240000,67251.38,67278.19,67251.38,67278.19,0.01153,1718154299999,775.5574692,4,0.01153,775.5574692
1718154300000,67278.18,67278.18,67278.18,67278.18,0.00028,1718154359999,18.8378904,2,0.00028,18.8378904
1718154360000,67278.1,67299.25,67223.7,67223.7,0.0005,1718154419999,33.6330365,4,0.00037,24.8939555
1718154420000,67223.7,67223.7,67223.7,67223.7,0.0,1718154479999,0.0,0,0.0,0.0
1718154480000,67312.74,67312.74,67312.74,67312.74,7e-05,1718154539999,4.7118918,1,7e-05,4.7118918
1718154540000,67312.74,67312.74,67312.74,67312.74,0.0,1718154599999,0.0,0,0.0,0.0
1718154600000,67312.74,67312.74,67312.74,67312.74,0.0,1718154659999,0.0,0,0.0,0.0
1718154660000,67312.74,67312.74,67312.74,67312.74,0.0,1718154719999,0.0,0,0.0,0.0
1718154720000,67200.0,67200.0,67196.01,67196.01,0.02231,1718154779999,1499.2295833,9,0.00223,149.8559773
1718154780000,67199.99,67199.99,67199.99,67199.99,0.00037,1718154839999,24.8639963,1,0.00037,24.8639963
1718154840000,67199.99,67199.99,67188.17,67188.17,0.00145,1718154899999,97.4312387,4,0.00071,47.7119929
1718154900000,67188.17,67199.98,67188.17,67199.98,0.0069,1718154959999,463.6000264,12,0.00014,9.4079972
1718154960000,67188.17,67188.17,67173.86,67173.86,0.00017,1718155019999,11.4198424,3,0.0,0.0
1718155020000,67158.37,67187.38,67145.2,67187.38,0.00075,1718155079999,50.3611923,3,2e-05,1.3437476
1718155080000,67189.87,67189.87,67068.97,67068.97,0.0036,1718155139999,241.5915709,10,0.00124,83.2858327
1718155140000,67086.31,67086.32,67086.31,67086.32,0.00716,1718155199999,480.3380297,2,0.0,0.0
1718155200000,67156.26,67156.26,67156.26,67156.26,0.00022,1718155259999,14.7743772,1,0.00022,14.7743772
1718155260000,67156.07,67156.07,67068.97,67068.97,0.00239,1718155319999,160.2974513,3,3e-05,2.0146821
1718155320000,67132.38,67132.38,67109.27,67109.27,0.00507,1718155379999,340.3136387,5,0.00507,340.3136387
1718155380000,67109.25,67109.25,67060.92,67088.69,0.00054,1718155439999,36.2274741,4,0.00033,22.1442021
1718155440000,67088.69,67088.69,67088.69,67088.69,0.0,1718155499999,0.0,0,0.0,0.0
1718155500000,67071.04,67097.39,67000.0,67048.36,0.26094,1718155559999,17494.216403,23,0.1491,10000.5148528
1718155560000,67000.0,67000.0,67000.0,67000.0,0.16638,1718155619999,11147.46,6,0.0,0.0
1718155620000,67010.99,67015.7,67000.0,67015.7,0.02348,1718155679999,1573.1971619,8,0.00312,209.0771619
1718155680000,67000.0,67039.69,67000.0,67039.69,0.00589,1718155739999,394.8034453,4,0.00437,292.9634453
1718155740000,67045.49,67045.5,67045.49,67045.49,0.03614,1718155799999,2423.0240566,9,0.03614,2423.0240566
1718155800000,67045.49,67045.49,67045.49,67045.49,0.0,1718155859999,0.0,0,0.0,0.0
1718155860000,67061.26,67061.26,67000.0,67000.0,0.00586,1718155919999,392.6548878,3,2e-05,1.3412252
1718155920000,67039.37,67039.37,67039.37,67039.37,0.00032,1718155979999,21.4525984,2,0.00032,21.4525984
1718155980000,67039.37,67039.37,67039.37,67039.37,0.0,1718156039999,0.0,0,0.0,0.0
1718156040000,67039.37,67039.37,67039.37,67039.37,0.0,1718156099999,0.0,0,0.0,0.0
1718156100000,67085.8,67085.8,67085.8,67085.8,3e-05,1718156159999,2.012574,1,3e-05,2.012574
1718156160000,67085.8,67173.92,67085.8,67173.92,0.00237,1718156219999,159.196022,2,0.00237,159.196022
1718156220000,67173.92,67173.92,67173.92,67173.92,0.0,1718156279999,0.0,0,0.0,0.0
1718156280000,67173.92,67173.92,67173.92,67173.92,0.0,1718156339999,0.0,0,0.0,0.0
1718156340000,67049.59,67049.59,67049.59,67049.59,0.00012,1718156399999,8.0459508,1,0.0,0.0
1718156400000,67020.83,67020.83,67000.0,67000.0,0.05156,1718156459999,3454.6904289,9,0.0,0.0
1718156460000,67000.0,67000.0,66984.1,66984.1,0.00642,1718156519999,430.095893,10,0.0,0.0
1718156520000,66998.88,67028.2,66998.88,67028.02,0.05083,1718156579999,3405.8333457,7,0.05083,3405.8333457
1718156580000,67028.02,67028.02,67028.02,67028.02,0.0,1718156639999,0.0,0,0.0,0.0
1718156640000,67028.02,67028.02,67028.02,67028.02,0.0,1718156699999,0.0,0,0.0,0.0
1718156700000,67008.89,67008.89,66984.13,66984.13,0.01831,1718156759999,1226.4848675,2,0.00022,14.7419558
1718156760000,66984.11,66984.11,66950.0,66950.0,0.21545,1718156819999,14429.7905415,28,0.00814,545.2502959
1718156820000,66956.78,66958.13,66956.78,66958.13,0.0223,1718156879999,1493.1640683,3,0.00037,24.7740086
1718156880000,66950.0,66983.72,66937.42,66937.42,0.01426,1718156939999,954.5938254,4,2e-05,1.3396744
1718156940000,66984.1,67066.26,66984.1,67066.26,0.0766,1718156999999,5135.3918205,6,0.0766,5135.3918205
1718157000000,67088.82,67088.82,67088.82,67088.82,3e-05,1718157059999,2.0126646,1,3e-05,2.0126646
1718157060000,67088.83,67109.12,67088.83,67109.12,0.00232,1718157119999,155.6927526,2,0.00232,155.6927526
1718157120000,67037.52,67037.52,67037.52,67037.52,0.00073,1718157179999,48.9373896,1,0.0,0.0
1718157180000,67109.06,67109.06,67109.06,67109.06,2e-05,1718157239999,1.3421812,1,2e-05,1.3421812
1718157240000,67109.06,67109.06,67109.06,67109.06,0.0,1718157299999,0.0,0,0.0,0.0
1718157300000,67109.06,67109.06,67109.06,67109.06,0.0,1718157359999,0.0,0,0.0,0.0
1718157360000,67109.06,67109.06,67109.06,67109.06,0.0,1718157419999,0.0,0,0.0,0.0
1718157420000,67109.06,67109.06,67109.06,67109.06,0.0,1718157479999,0.0,0,0.0,0.0
1718157480000,67108.85,67108.85,67108.83,67108.83,7e-05,1718157539999,4.6976189,3,7e-05,4.6976189
1718157540000,67108.83,67211.6,67108.83,67111.68,0.12938,1718157599999,8690.398008,32,0.12919,8677.6467888
1718157600000,67111.68,67111.68,67111.68,67111.68,0.0,1718157659999,0.0,0,0.0,0.0
1718157660000,67242.48,67242.48,67242.48,67242.48,2e-05,1718157719999,1.3448496,1,2e-05,1.3448496
1718157720000,67142.51,67142.51,67142.51,67142.51,2e-05,1718157779999,1.3428502,1,0.0,0.0
1718157780000,67142.51,67142.51,67142.51,67142.51,0.00745,1718157839999,500.2116995,3,0.0,0.0
1718157840000,67142.51,67142.51,67142.51,67142.51,0.0,1718157899999,0.0,0,0.0,0.0
1718157900000,67216.41,67234.91,67159.04,67234.91,0.00152,1718157959999,102.1817204,4,0.00057,38.3133537
1718157960000,67285.86,67285.86,67285.86,67285.86,0.00038,1718158019999,25.5686268,2,0.00038,25.5686268
1718158020000,67274.54,67344.86,67274.54,67310.68,0.00975,1718158079999,656.2789983,10,0.00078,52.5150836
1718158080000,67314.26,67314.44,67314.26,67314.44,0.00041,1718158139999,27.5989078,2,0.0,0.0
1718158140000,67334.66,67386.0,67334.66,67386.0,0.00437,1718158199999,294.4246554,8,0.00318,214.2804562
1718158200000,67360.4,67439.09,67360.4,67409.25,0.00584,1718158259999,393.5320799,11,0.0016,107.8583576
1718158260000,67462.91,67470.0,67408.0,67408.0,0.1013,1718158319999,6834.3238604,11,0.04348,2933.2890604
1718158320000,67396.55,67396.55,67396.54,67396.55,0.02385,1718158379999,1607.4075999,5,0.0,0.0
1718158380000,67404.7,67404.7,67404.7,67404.7,2e-05,1718158439999,1.348094,1,0.0,0.0
1718158440000,67402.61,67402.61,67402.61,67402.61,0.008,1718158499999,539.22088,1,0.0,0.0
